,Acc_X,Acc_Y,Acc_Z
4.39,6.610031,-7.507297,-3.039231
4.4,6.510229,-7.176571,-2.879195
4.41,6.604107,-6.982803,-2.648455
4.42,6.671802,-7.021518,-2.432152
4.43,6.696058,-7.296295,-2.279233
4.44,6.710865,-7.539028,-2.255741
4.45,6.723004,-7.784055,-2.261304
4.46,6.714802,-7.89063,-2.224246
4.47,6.716406,-7.861917,-2.262847
4.48,6.659685,-7.832775,-2.270498
4.49,6.635728,-7.853935,-2.228693
4.5,6.825411,-7.688433,-2.1101
4.51,6.775102,-7.676248,-2.534004
4.52,6.629077,-8.524792,-2.967248
4.53,6.713786,-8.95901,-2.712429
4.54,6.430012,-8.16246,-2.590552
4.55,6.105599,-7.243624,-2.557441
4.56,6.266468,-7.24491,-2.283171
4.57,6.419272,-7.822703,-2.180578
4.58,6.518307,-8.490605,-2.383323
4.59,6.803627,-8.735541,-2.349975
4.6,6.862748,-8.441226,-2.290263
4.61,6.821764,-7.932132,-2.147056
4.62,6.678908,-7.284049,-1.917149
4.63,6.687029,-6.647615,-1.524027
4.64,6.929637,-6.448152,-1.423922
4.65,6.815244,-6.724112,-1.330954
4.66,6.795644,-7.142434,-1.6921
4.67,6.823494,-7.4039,-1.860188
4.68,6.788493,-6.920995,-1.525928
4.69,7.185142,-6.426724,-0.649617
4.7,7.320912,-6.426162,-0.771606
4.71,7.367106,-6.09844,-0.906898
4.72,7.685438,-5.528434,-1.134314
4.73,8.018136,-5.122666,-1.218116
4.74,8.288682,-5.057785,-1.636506
4.75,8.256167,-5.114416,-2.088318
4.76,8.05074,-5.606167,-2.20712
4.77,7.806836,-6.29495,-2.246469
4.78,7.722219,-6.806635,-2.30846
4.79,7.867508,-7.12041,-2.20553
4.8,8.215461,-7.277503,-2.18282
4.81,8.589745,-7.458142,-2.430314
4.82,8.544249,-7.515754,-2.765432
4.83,8.232236,-7.441751,-3.079888
4.84,8.078335,-7.09301,-3.280484
4.85,8.180202,-6.491797,-3.227344
4.86,8.405181,-5.935755,-3.210331
4.87,8.454649,-5.682376,-2.985162
4.88,8.67269,-5.869953,-2.044583
4.89,8.795024,-6.24533,-1.561412
4.9,8.561291,-6.752927,-1.675628
4.91,8.124476,-6.966529,-1.77109
4.92,7.610664,-6.536025,-1.867765
4.93,7.181258,-5.947596,-2.052108
4.94,6.788063,-5.360758,-2.330857
4.95,6.544947,-4.868702,-2.489044
4.96,6.359209,-4.874842,-2.699622
4.97,6.286221,-5.157438,-2.768017
4.98,6.241743,-5.319436,-2.888646
4.99,6.035354,-5.429181,-2.835789
5,5.695823,-5.437236,-2.633957
5.01,5.333014,-5.423156,-2.538063
5.02,5.093708,-5.3116,-2.382589
5.03,4.880549,-5.252479,-2.425132
5.04,4.680996,-5.295478,-2.489483
5.05,4.67219,-5.480804,-2.600398
5.06,4.713941,-5.676127,-2.716771
5.07,4.675968,-5.724831,-3.00117
5.08,4.602539,-5.398561,-3.229897
5.09,4.736557,-5.121841,-3.376936
5.1,4.807862,-5.086308,-3.693471
5.11,4.822906,-5.302126,-3.989271
5.12,4.92773,-5.3831,-4.149118
5.13,5.326593,-5.337409,-4.024911
5.14,5.615347,-5.395291,-4.110359
5.15,5.732962,-5.919744,-4.497764
5.16,6.163351,-6.290699,-4.621962
5.17,6.686607,-6.205429,-4.520756
5.18,6.952544,-5.658588,-4.338566
5.19,7.120038,-5.020317,-4.086389
5.2,7.235684,-4.391239,-4.011476
5.21,7.477328,-3.949421,-4.086935
5.22,7.874835,-3.668908,-4.441944
5.23,8.39304,-3.59426,-4.747191
5.24,8.814457,-3.566982,-5.160784
5.25,9.271445,-3.455599,-5.52817
5.26,9.824191,-3.159759,-5.510019
5.27,10.322389,-3.069166,-5.731666
5.28,10.914392,-3.300583,-6.213177
5.29,11.648763,-3.673728,-6.724971
5.3,12.406921,-4.321051,-7.204683
5.31,12.749204,-5.05251,-7.789036
5.32,12.725572,-5.856291,-8.390085
5.33,12.487493,-6.369279,-8.306274
5.34,11.646046,-6.893782,-8.320668
5.35,10.503625,-7.557652,-8.145115
5.36,9.246331,-8.079688,-7.485597
5.37,8.577756,-8.070624,-6.355749
5.38,8.617212,-7.667733,-4.601494
5.39,9.222203,-7.264643,-2.907701
5.4,9.778375,-7.005942,-1.494418
5.41,10.17684,-6.790345,-0.307713
5.42,10.428089,-6.464642,0.263535
5.43,10.074167,-6.454517,-0.249037
5.44,10.042952,-5.104306,-0.47985
5.45,9.696349,-3.197602,-1.348086
5.46,9.540363,-1.83282,-1.791028
5.47,9.735545,-0.665566,-0.948817
5.48,9.748325,-0.278609,-0.581134
5.49,9.790294,-0.424494,-0.572465
5.5,9.754658,-1.637034,-0.724515
5.51,9.430404,-2.01479,-0.472831
5.52,9.564717,-1.88778,-0.283814
5.53,9.421424,-1.793312,-0.13558
5.54,9.594649,-0.973694,-0.138479
5.55,9.842965,0.07016,-0.428978
5.56,10.165297,0.463685,-0.31646
5.57,9.900408,0.202959,-0.454125
5.58,9.870583,-0.293817,-0.636422
5.59,9.627816,-1.032994,-0.595391
5.6,9.756543,-1.42852,-1.029428
5.61,10.02348,-1.187326,-1.019282
5.62,9.910746,-1.222362,-1.245753
5.63,9.710485,-0.850363,-1.220137
5.64,9.658293,-0.676316,-1.400886
5.65,9.905734,-0.499756,-1.211675
5.66,9.935779,-0.322173,-0.835744
5.67,9.798476,-0.347675,-0.900355
5.68,9.733156,-0.730983,-0.984709
5.69,9.69301,-1.192728,-1.044385
5.7,9.69396,-1.769671,-1.225475
5.71,9.761815,-2.098814,-1.315295
5.72,9.721361,-2.304332,-1.393004
5.73,9.604818,-2.393471,-1.595674
5.74,9.549561,-2.317329,-1.692561
5.75,9.477962,-2.399479,-1.855601
5.76,9.353531,-2.60108,-2.081471
5.77,9.276598,-2.710149,-2.224431
5.78,9.240128,-2.716872,-2.318344
5.79,9.268605,-2.631585,-2.281291
5.8,9.237963,-2.600622,-2.337967
5.81,9.379094,-2.538085,-2.362704
5.82,9.615218,-2.128297,-2.29651
5.83,9.754969,-1.713684,-2.024028
5.84,9.867175,-1.477321,-1.731261
5.85,9.992615,-1.422799,-1.363753
5.86,10.030653,-1.313535,-1.169087
5.87,9.993231,-1.217494,-0.909897
5.88,9.909099,-1.238182,-0.873809
5.89,9.860697,-1.040491,-0.921347
5.9,9.795881,-0.757293,-0.99647
5.91,9.819605,-0.56142,-1.002021
5.92,9.849911,-0.509351,-1.115307
5.93,9.814267,-0.638856,-1.209517
5.94,9.817862,-0.746011,-1.20151
5.95,9.723265,-0.860857,-1.221857
5.96,9.691124,-0.89497,-1.285662
5.97,9.616207,-0.823621,-1.299598
5.98,9.628674,-0.667587,-1.385043
5.99,9.688036,-0.426341,-1.357646
6,9.740072,-0.354128,-1.316963
6.01,9.784875,-0.393322,-1.276562
6.02,9.747048,-0.498881,-1.181652
6.03,9.764043,-0.58087,-1.150255
6.04,9.69154,-0.697977,-1.169091
6.05,9.629319,-0.982039,-1.230745
6.06,9.64874,-1.114332,-1.308803
6.07,9.663635,-1.203993,-1.386136
6.08,9.69055,-1.452068,-1.404207
